staffRoasterId,day,scheduleDate,ExamType,Hall,hallCat1,hallCat2,hallCatTimtec,StaffID,Incounter,Period,mainPeriod
1,1,2025-05-19 00:00:00,1,1000 CAP LT HALL,COLFHEC,COLNAS_ANENIH_COLFHEC,1000 SEATER|TET LABS,SP1087,1,9:00am-12:00 noon,Morning (9am - 12noon)
2,1,2025-05-19 00:00:00,1,1000 CAP LT HALL,COLFHEC,COLNAS_ANENIH_COLFHEC,1000 SEATER|TET LABS,SP2667,1,9:00am-12:00 noon,Morning (9am - 12noon)
3,1,2025-05-19 00:00:00,1,1000 CAP LT HALL,COLFHEC,COLNAS_ANENIH_COLFHEC,1000 SEATER|TET LABS,SP1085,1,9:00am-12:00 noon,Morning (9am - 12noon)
4,1,2025-05-19 00:00:00,1,1000 CAP LT HALL,COLFHEC,COLNAS_ANENIH_COLFHEC,1000 SEATER|TET LABS,SP1988,1,9:00am-12:00 noon,Morning (9am - 12noon)
5,1,2025-05-19 00:00:00,1,1000 CAP LT HALL,COLFHEC,COLNAS_ANENIH_COLFHEC,1000 SEATER|TET LABS,SP2176,1,9:00am-12:00 noon,Morning (9am - 12noon)
6,1,2025-05-19 00:00:00,1,1000 CAP LT HALL,COLFHEC,COLNAS_ANENIH_COLFHEC,1000 SEATER|TET LABS,SP923,1,9:00am-12:00 noon,Morning (9am - 12noon)
7,1,2025-05-19 00:00:00,1,1000 CAP LT HALL,COLFHEC,COLNAS_ANENIH_COLFHEC,1000 SEATER|TET LABS,SP2104,1,9:00am-12:00 noon,Morning (9am - 12noon)
8,1,2025-05-19 00:00:00,1,1000 CAP LT HALL,COLFHEC,COLNAS_ANENIH_COLFHEC,1000 SEATER|TET LABS,SP2182,1,9:00am-12:00 noon,Morning (9am - 12noon)
9,1,2025-05-19 00:00:00,1,COLBIOS_Aud,COLNAS(OLD),COLNAS_ANENIH_COLFHEC,MP BUILDING|COLBIOS,SP1967,2,9:00am-12:00 noon,Morning (9am - 12noon)
10,1,2025-05-19 00:00:00,1,COLBIOS_Aud,COLNAS(OLD),COLNAS_ANENIH_COLFHEC,MP BUILDING|COLBIOS,SP2859,2,9:00am-12:00 noon,Morning (9am - 12noon)
