Day_Paper_ID,CourseCode,CourseStart,CourseEnd,CoursePeriod,ExamDayId,IsActive,Semester,Session,Hall,HallID
1--1,ABE 204,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,1000 CAP LT HALL,61
1--1,ABE 204,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,COLBIOS AUD,1
1--1,AEM 502,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,CAD,8
1--1,AEM 502,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,CPL,12
1--1,APH 506,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,JAO3,17
1--1,BOT 402,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,AUD II,86
1--1,CHM 228,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,PISAD AUD,76
1--1,CMS 202,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,ANE1,6
1--1,CMS 202,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,ANE2,7
1--1,CVE 520,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,AUD I,87
1--1,EMT 518,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,AUD III,93
1--1,ETS 306,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,ELBOG I,77
1--1,ETS 306,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,ELBOG II,78
1--1,FIS 310,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,MP01,18
1--1,FST 502,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,JAO2,16
1--1,GNS 106,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,JAO1,15
1--1,HTM 502,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,CENTS-AUD,58
1--1,MCB 410,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,MP02,19
1--1,MCB 410,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,MPL,20
1--1,PCP 510,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,AGRIC LAB 1,69
1--1,PCP 510,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,AGRIC LAB 2,70
1--1,STS 214,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,ENG-AUD,13
1--1,VBA 214,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,VET 300,32
1--1,VBA 214,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,VET AUD,36
1--1,VPR 402,9:00am,12:00 noon,Morning (9am - 12noon),1,1,2,2024/2025,VET 200,31
1--2,AAD 516,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,AUD II,86
1--2,ANN 504,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,AGRIC LAB 1,69
1--2,ANN 504,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,AGRIC LAB 2,70
1--2,ARD 510,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,JAO2,16
1--2,CHM 406,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,COLBIOS AUD,1
1--2,CMS 102,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,ANE1,6
1--2,CMS 102,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,ANE2,7
1--2,CPT 514,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,AUD I,87
1--2,CVE 350,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,PISAD AUD,76
1--2,ELE 202,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,MP01,18
1--2,ELE 202,2:00pm,5:00pm,Afternoon(2pm - 5pm),1,1,2,2024/2025,MPL,20
